"BehaviorSpace results (NetLogo 6.0.4)"
"evo_coop_periodic_rainfall_v3.nlogo"
"final_sims"
"06/30/2021 14:40:07:726 -0700"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"0","90","0","90"
"[run number]","show-energy?","average-drought","logistic-growth-rate","gap-width","minimum-plant-number","initial-population","average-rain","energy-transfer-cooperator","energy-transfer-non-cooperator","P","patch-width","[step]","mean cooperator-list","mean noncooperator-list","mean cooperator-lifespan-list","mean noncooperator-lifespan-list","mean cooperator-greentile-list","mean cooperator-blacktile-list","mean noncooperator-greentile-list","mean noncooperator-blacktile-list","mean patchHop-cooperators","mean patchHop-noncooperators"
"138","false","1","0.4","0","500","40","1","0.3","1","0.8","4","500","1.468","30.838","39.63157894736842","256.89547038327527","39.63157894736842","0","256.89547038327527","0","0","0"
"144","false","1","0.4","0","500","40","1","0.3","1","0.8","6","500","2.59","27.764","47.58620689655172","223.13297872340425","47.58620689655172","0","223.13297872340425","0","0","0"
"145","false","1","0.4","0","500","40","1","0.3","1","0.8","6","500","1.634","28.786","40.333333333333336","218.8093023255814","40.333333333333336","0","218.8093023255814","0","0","0"
"147","false","1","0.4","0","500","40","1","0.3","1","0.8","6","500","2.718","26.92","48.793103448275865","222.47852760736197","48.793103448275865","0","222.47852760736197","0","0","0"
"151","false","1","0.4","0","500","40","1","0.3","1","1","2","500","1.542","27.23","36.90909090909091","181.43589743589743","36.90909090909091","0","181.43589743589743","0","0","0"
"149","false","1","0.4","0","500","40","1","0.3","1","0.8","6","500","1.472","29.876","39.73684210526316","251.95406360424028","39.73684210526316","0","251.95406360424028","0","0","0"
"153","false","1","0.4","0","500","40","1","0.3","1","1","2","500","1.356","26.616","37.21052631578947","178.1726618705036","37.21052631578947","0","178.1726618705036","0","0","0"
"152","false","1","0.4","0","500","40","1","0.3","1","1","2","500","2.032","27.072","47.68181818181818","184.52205882352942","47.68181818181818","0","184.52205882352942","0","0","0"
"150","false","1","0.4","0","500","40","1","0.3","1","0.8","6","500","1.59","29.43","42.8421052631579","251.72540983606558","42.8421052631579","0","251.72540983606558","0","0","0"
"146","false","1","0.4","0","500","40","1","0.3","1","0.8","6","500","1.63","30.122","49.8235294117647","253.95131086142322","49.8235294117647","0","253.95131086142322","0","0","0"
"148","false","1","0.4","0","500","40","1","0.3","1","0.8","6","500","1.52","29.926","48.5","241.35365853658536","48.5","0","241.35365853658536","0","0","0"
"154","false","1","0.4","0","500","40","1","0.3","1","1","2","500","1.668","26.428","44.89473684210526","181.55","44.89473684210526","0","181.55","0","0","0"
"155","false","1","0.4","0","500","40","1","0.3","1","1","2","500","2.334","26.162","48.08","161.9268292682927","48.08","0","161.9268292682927","0","0","0"
"156","false","1","0.4","0","500","40","1","0.3","1","1","2","500","2.37","26.548","48.8","180.704","48.8","0","180.704","0","0","0"
"159","false","1","0.4","0","500","40","1","0.3","1","1","2","500","2.666","26.138","54.48","190.91666666666666","54.48","0","190.91666666666666","0","0","0"
"157","false","1","0.4","0","500","40","1","0.3","1","1","2","500","1.912","27.35","44.68181818181818","164.18354430379748","44.68181818181818","0","164.18354430379748","0","0","0"
"160","false","1","0.4","0","500","40","1","0.3","1","1","2","500","2.014","26.81","45.391304347826086","192.19847328244273","45.391304347826086","0","192.19847328244273","0","0","0"
"158","false","1","0.4","0","500","40","1","0.3","1","1","2","500","2.092","27.236","46.82608695652174","192.31788079470198","46.82608695652174","0","192.31788079470198","0","0","0"
"162","false","1","0.4","0","500","40","1","0.3","1","1","4","500","1.728","26.938","49","186.78472222222223","49","0","186.78472222222223","0","0","0"
